time,error,deltaError,fuzzy_control,sensor_0,sensor_1,sensor_2,sensor_3,motor_L,motor_R,pos_x,pos_y
17.54,0.25,-2.49,-2.71,67.92,62.82,99.75,61.35,4.92,6.28,-0.35,-0.24
17.60,-1.25,-1.49,-2.16,61.26,63.21,101.25,70.15,5.20,6.28,-0.35,-0.24
17.66,7.23,8.47,0.53,65.22,70.00,92.77,63.05,6.28,6.02,-0.34,-0.25
17.73,2.90,-4.33,-3.12,66.65,69.30,97.10,67.21,4.72,6.28,-0.34,-0.26
17.79,4.63,1.73,-0.67,65.69,70.43,95.37,72.51,5.94,6.28,-0.33,-0.26
17.86,-1.49,-6.12,-3.12,65.86,66.63,101.49,67.87,4.72,6.28,-0.33,-0.27
17.92,3.96,5.46,0.37,60.60,76.00,96.04,69.21,6.28,6.09,-0.32,-0.27
17.98,-4.87,-8.83,-3.13,69.10,69.69,104.87,60.51,4.71,6.28,-0.32,-0.28
18.05,-1.48,3.39,-0.16,64.30,65.35,101.48,70.65,6.20,6.28,-0.31,-0.28
18.11,5.91,7.39,0.45,66.40,70.52,94.09,68.11,6.28,6.05,-0.31,-0.29
18.18,7.17,1.26,-0.92,68.19,66.19,92.83,71.39,5.82,6.28,-0.30,-0.30
18.24,0.31,-6.85,-3.12,66.35,62.01,99.69,66.82,4.72,6.28,-0.30,-0.30
18.30,-1.85,-2.16,-2.52,70.28,68.91,101.85,64.88,5.02,6.28,-0.29,-0.31
18.37,0.57,2.43,-0.23,64.75,66.22,99.43,66.31,6.16,6.28,-0.29,-0.31
18.43,-3.69,-4.26,-3.12,56.04,60.29,103.69,68.85,4.72,6.28,-0.28,-0.32
18.50,-0.83,2.86,-0.10,65.92,68.01,100.83,65.21,6.23,6.28,-0.28,-0.32
18.56,-1.23,-0.40,-1.66,66.81,67.17,101.23,70.61,5.45,6.28,-0.27,-0.33
18.62,5.07,6.31,0.44,62.89,68.91,94.93,66.98,6.28,6.06,-0.27,-0.33
18.69,-6.13,-11.21,-3.15,65.65,69.16,106.13,70.01,4.71,6.28,-0.26,-0.34
18.75,-4.76,1.37,-0.89,71.89,69.95,104.76,68.62,5.84,6.28,-0.25,-0.34
18.82,-3.45,1.31,-0.90,68.43,70.84,103.45,66.06,5.83,6.28,-0.25,-0.35
18.88,-13.43,-9.98,-3.27,70.78,62.13,113.43,66.66,4.65,6.28,-0.24,-0.35
18.94,-8.55,4.88,-0.76,70.01,67.73,108.55,65.96,5.90,6.28,-0.24,-0.36
19.01,-4.09,4.47,-0.41,66.56,62.97,104.09,63.08,6.07,6.28,-0.23,-0.36
19.07,-3.19,0.89,-1.10,72.35,64.57,103.19,64.23,5.73,6.28,-0.22,-0.36
19.14,-7.50,-4.31,-3.16,67.80,66.62,107.50,61.74,4.70,6.28,-0.22,-0.37
19.20,-13.95,-6.45,-3.28,64.88,72.10,113.95,72.88,4.64,6.28,-0.21,-0.37
19.26,-4.35,9.60,0.72,65.92,66.75,104.35,68.65,6.28,5.92,-0.21,-0.38
19.33,-15.12,-10.76,-3.30,68.04,67.69,115.12,67.72,4.63,6.28,-0.20,-0.38
19.39,-14.87,0.25,-1.60,66.84,67.96,114.87,69.59,5.48,6.28,-0.19,-0.38
19.46,-7.65,7.22,-0.64,63.58,65.62,107.65,67.31,5.96,6.28,-0.19,-0.39
19.52,-15.07,-7.41,-3.30,63.57,65.74,115.07,67.53,4.63,6.28,-0.18,-0.39
19.58,-10.83,4.24,-0.84,69.17,69.57,110.83,67.80,5.86,6.28,-0.17,-0.39
19.65,-11.13,-0.30,-1.74,66.90,75.02,111.13,68.96,5.41,6.28,-0.17,-0.40
19.71,-12.06,-0.93,-2.03,77.32,65.57,112.06,64.34,5.27,6.28,-0.16,-0.40
19.78,-15.75,-3.69,-3.32,65.52,70.64,115.75,63.65,4.62,6.28,-0.15,-0.40
19.84,-13.13,2.62,-0.95,66.31,66.25,113.13,67.89,5.80,6.28,-0.14,-0.40
19.90,-9.35,3.78,-0.73,65.33,66.29,109.35,65.71,5.91,6.28,-0.14,-0.41
19.97,-10.69,-1.34,-2.19,68.39,65.62,110.69,71.96,5.18,6.28,-0.13,-0.41
20.03,-15.66,-4.97,-3.31,69.52,66.47,115.66,61.78,4.62,6.28,-0.12,-0.41
20.10,-6.63,9.04,0.39,68.56,63.96,106.63,68.33,6.28,6.08,-0.12,-0.41
20.16,-19.50,-12.87,-3.41,68.46,61.65,119.50,70.78,4.58,6.28,-0.11,-0.42
20.22,-8.38,11.12,1.44,60.35,70.15,108.38,71.43,6.28,5.56,-0.10,-0.42
20.29,-19.53,-11.15,-3.41,72.18,66.39,119.53,65.78,4.58,6.28,-0.09,-0.42
20.35,-12.90,6.62,-0.97,69.09,76.16,112.90,69.40,5.79,6.28,-0.09,-0.42
20.42,-13.39,-0.48,-1.87,68.69,68.79,113.39,61.63,5.35,6.28,-0.08,-0.42
20.48,-10.13,3.26,-0.78,66.46,65.26,110.13,69.00,5.89,6.28,-0.07,-0.42
20.54,-11.28,-1.15,-2.11,69.42,62.52,111.28,69.02,5.22,6.28,-0.07,-0.42
20.61,-16.75,-5.47,-3.34,67.55,63.03,116.75,69.29,4.61,6.28,-0.06,-0.43
20.67,-5.78,10.97,1.37,65.35,68.44,105.78,63.61,6.28,5.59,-0.05,-0.43
20.74,-14.11,-8.33,-3.28,67.82,69.43,114.11,66.30,4.64,6.28,-0.04,-0.43
20.80,-5.69,8.43,-0.04,69.85,67.19,105.69,67.99,6.26,6.28,-0.04,-0.43
20.86,-16.99,-11.30,-3.35,68.43,65.94,116.99,68.94,4.61,6.28,-0.03,-0.43
20.93,-7.18,9.81,0.83,69.96,60.55,107.18,63.33,6.28,5.86,-0.02,-0.43
20.99,-15.44,-8.26,-3.31,63.28,66.27,115.44,67.10,4.63,6.28,-0.01,-0.43
21.06,-8.16,7.28,-0.67,66.20,64.95,108.16,68.34,5.95,6.28,-0.01,-0.43
21.12,-8.32,-0.17,-1.63,62.85,65.64,108.32,65.86,5.46,6.28,0.00,-0.43
21.18,-11.91,-3.58,-3.24,63.32,68.41,111.91,64.59,4.66,6.28,0.01,-0.43
21.25,-14.78,-2.87,-3.16,72.53,67.98,114.78,65.24,4.70,6.28,0.02,-0.43
21.31,-13.67,1.11,-1.20,66.98,62.20,113.67,75.48,5.68,6.28,0.02,-0.43
21.38,-16.03,-2.36,-2.79,66.78,58.41,116.03,64.35,4.88,6.28,0.03,-0.43
21.44,-9.99,6.04,-0.89,69.78,69.40,109.99,63.82,5.84,6.28,0.04,-0.43
21.50,-6.83,3.16,-0.57,67.49,72.91,106.83,69.45,6.00,6.28,0.05,-0.43
21.57,-7.90,-1.07,-2.02,65.02,66.68,107.90,60.99,5.27,6.28,0.05,-0.42
21.63,-0.06,7.84,-0.04,66.65,69.03,100.06,68.82,6.26,6.28,0.06,-0.42
21.70,-5.97,-5.91,-3.14,66.20,65.78,105.97,63.06,4.71,6.28,0.07,-0.42
21.76,-9.03,-3.06,-3.19,65.66,66.49,109.03,66.72,4.69,6.28,0.07,-0.42
21.82,-2.01,7.02,-0.22,63.04,67.20,102.01,67.77,6.17,6.28,0.08,-0.42
21.89,-3.55,-1.54,-2.19,69.95,67.00,103.55,62.86,5.19,6.28,0.09,-0.42
21.95,-6.72,-3.17,-3.15,68.64,70.94,106.72,68.94,4.70,6.28,0.10,-0.41
22.02,-2.63,4.09,-0.28,62.46,61.88,102.63,70.68,6.14,6.28,0.10,-0.41
22.08,-4.86,-2.23,-2.57,67.59,61.72,104.86,64.72,4.99,6.28,0.11,-0.41
22.14,-0.46,4.40,-0.08,59.91,68.62,100.46,66.55,6.24,6.28,0.12,-0.41
22.21,3.05,3.51,0.22,67.89,62.36,96.95,68.44,6.28,6.17,0.13,-0.40
22.27,2.60,-0.45,-1.68,66.39,63.46,97.40,61.27,5.44,6.28,0.13,-0.40
22.34,7.15,4.55,0.58,65.39,67.31,92.85,74.00,6.28,5.99,0.14,-0.40
22.40,8.79,1.64,-0.72,62.64,66.37,91.21,65.11,5.92,6.28,0.15,-0.40
22.46,16.89,8.11,1.10,70.29,65.20,83.11,64.29,6.28,5.73,0.15,-0.39
22.53,4.65,-12.24,-3.12,69.83,73.63,95.35,68.58,4.72,6.28,0.16,-0.39
22.59,5.16,0.50,-1.27,65.40,66.96,94.84,66.46,5.65,6.28,0.17,-0.39
22.66,1.16,-4.00,-3.12,66.93,67.46,98.84,67.89,4.72,6.28,0.17,-0.39
22.72,-5.86,-7.01,-3.14,69.63,68.22,105.86,65.36,4.71,6.28,0.18,-0.38
22.78,1.96,7.81,0.12,64.77,62.87,98.04,70.04,6.28,6.22,0.19,-0.38
22.85,2.10,0.15,-1.43,71.64,68.40,97.90,67.15,5.57,6.28,0.19,-0.38
22.91,12.49,10.39,1.11,63.90,72.07,87.51,70.36,6.28,5.72,0.20,-0.37
22.98,3.07,-9.43,-3.12,68.82,73.63,96.93,65.39,4.72,6.28,0.21,-0.37
23.04,-0.77,-3.83,-3.12,69.27,68.14,100.77,62.88,4.72,6.28,0.21,-0.37
23.10,-1.87,-1.10,-1.97,72.58,66.36,101.87,68.88,5.29,6.28,0.22,-0.36
23.17,5.19,7.06,0.41,71.74,67.79,94.81,66.17,6.28,6.07,0.23,-0.36
23.23,1.79,-3.41,-3.12,69.56,68.08,98.21,67.49,4.72,6.28,0.23,-0.35
23.30,0.77,-1.02,-1.93,75.03,64.22,99.23,70.51,5.31,6.28,0.24,-0.35
23.36,-5.40,-6.17,-3.14,65.24,65.63,105.40,70.72,4.71,6.28,0.25,-0.35
23.42,4.88,10.28,1.06,67.62,59.24,95.12,68.85,6.28,5.75,0.25,-0.34
23.49,1.92,-2.96,-3.08,63.94,60.54,98.08,62.55,4.74,6.28,0.26,-0.34
23.55,-3.08,-5.00,-3.12,64.51,68.90,103.08,64.02,4.72,6.28,0.26,-0.33
23.62,1.89,4.97,0.13,70.95,67.36,98.11,66.20,6.28,6.21,0.27,-0.33
23.68,-3.40,-5.28,-3.12,71.05,65.82,103.40,64.63,4.72,6.28,0.27,-0.32
23.74,-0.87,2.52,-0.16,63.84,63.84,100.87,65.78,6.20,6.28,0.28,-0.32
23.81,1.90,2.77,0.01,65.23,64.22,98.10,71.84,6.28,6.27,0.29,-0.31
23.87,-3.84,-5.74,-3.13,66.13,67.49,103.84,70.23,4.72,6.28,0.29,-0.31
23.94,2.58,6.42,0.20,67.76,71.46,97.42,70.11,6.28,6.18,0.30,-0.30
24.00,-2.01,-4.59,-3.12,66.15,65.27,102.01,70.23,4.72,6.28,0.30,-0.30
24.06,-8.33,-6.32,-3.18,64.00,70.28,108.33,71.11,4.69,6.28,0.31,-0.29
24.13,-1.20,7.12,-0.15,64.59,70.12,101.20,67.13,6.21,6.28,0.31,-0.29
24.19,-4.53,-3.33,-3.13,71.65,66.89,104.53,68.58,4.71,6.28,0.32,-0.28
24.26,-0.07,4.47,-0.04,65.44,67.55,100.07,69.10,6.26,6.28,0.32,-0.28
24.32,7.41,7.48,0.55,63.48,71.71,92.59,63.18,6.28,6.01,0.33,-0.27
24.38,0.49,-6.92,-3.12,66.70,62.43,99.51,61.85,4.72,6.28,0.33,-0.26
24.45,5.73,5.24,0.52,67.50,64.51,94.27,72.27,6.28,6.02,0.34,-0.26
24.51,-0.36,-6.09,-3.12,65.04,66.38,100.36,65.57,4.72,6.28,0.34,-0.25
24.58,-5.51,-5.15,-3.14,71.11,67.71,105.51,60.41,4.71,6.28,0.35,-0.25
24.64,0.52,6.03,0.00,67.61,67.50,99.48,62.31,6.28,6.28,0.35,-0.24
24.70,8.66,8.14,0.62,67.73,61.55,91.34,64.27,6.28,5.97,0.35,-0.23
24.77,-0.32,-8.98,-3.12,70.10,72.94,100.32,69.46,4.72,6.28,0.36,-0.23
24.83,1.25,1.56,-0.76,76.01,65.04,98.75,68.42,5.90,6.28,0.36,-0.22
24.90,1.28,0.04,-1.47,65.02,68.44,98.72,71.22,5.54,6.28,0.37,-0.22
24.96,-8.09,-9.37,-3.17,61.99,62.51,108.09,72.22,4.69,6.28,0.37,-0.21
25.02,-3.76,4.33,-0.38,72.13,65.44,103.76,69.20,6.09,6.28,0.37,-0.20
25.09,-9.31,-5.55,-3.19,69.02,68.19,109.31,63.08,4.68,6.28,0.38,-0.20
25.15,-6.92,2.39,-0.58,65.07,66.76,106.92,66.50,5.99,6.28,0.38,-0.19
25.22,-0.65,6.27,-0.11,65.21,67.22,100.65,65.64,6.23,6.28,0.38,-0.18
25.28,-1.65,-1.00,-1.93,70.32,65.28,101.65,67.33,5.32,6.28,0.39,-0.17
25.34,-8.29,-6.63,-3.17,65.31,63.68,108.29,63.58,4.69,6.28,0.39,-0.17
25.41,-3.63,4.66,-0.39,70.18,59.59,103.63,67.92,6.09,6.28,0.39,-0.16
25.47,-8.36,-4.74,-3.18,66.52,69.59,108.36,70.58,4.69,6.28,0.40,-0.15
25.54,2.98,11.34,1.53,71.32,71.78,97.02,68.05,6.28,5.51,0.40,-0.15
25.60,-3.74,-6.72,-3.12,66.57,73.49,103.74,64.39,4.72,6.28,0.40,-0.14
25.66,-4.93,-1.18,-2.03,63.06,68.62,104.93,66.61,5.27,6.28,0.41,-0.13
25.73,-6.40,-1.48,-2.19,66.79,66.46,106.40,71.55,5.19,6.28,0.41,-0.13
25.79,-12.56,-6.15,-3.25,62.83,66.93,112.56,71.35,4.66,6.28,0.41,-0.12
25.86,-13.24,-0.68,-1.95,69.07,69.49,113.24,64.40,5.31,6.28,0.41,-0.11
25.92,-10.11,3.12,-0.78,69.72,67.83,110.11,62.38,5.89,6.28,0.41,-0.11
25.98,-3.09,7.03,-0.32,63.67,66.43,103.09,68.97,6.12,6.28,0.42,-0.10
26.05,-11.99,-8.90,-3.24,64.45,62.47,111.99,65.46,4.66,6.28,0.42,-0.09
26.11,-6.17,5.82,-0.66,68.15,64.59,106.17,68.92,5.95,6.28,0.42,-0.08
26.18,-7.72,-1.56,-2.24,61.54,66.50,107.72,67.94,5.16,6.28,0.42,-0.08
26.24,-8.06,-0.34,-1.70,64.02,61.13,108.06,67.70,5.43,6.28,0.42,-0.07
26.30,-8.16,-0.10,-1.60,58.47,67.50,108.16,69.31,5.48,6.28,0.42,-0.06
26.37,-4.02,4.15,-0.39,70.71,65.22,104.02,70.70,6.08,6.28,0.42,-0.05
26.43,-5.16,-1.14,-2.01,65.99,71.02,105.16,68.00,5.27,6.28,0.42,-0.05
26.50,-10.01,-4.85,-3.20,62.52,69.45,110.01,61.20,4.68,6.28,0.42,-0.04
26.56,-13.97,-3.96,-3.28,69.82,65.52,113.97,65.40,4.64,6.28,0.43,-0.03
26.62,-9.91,4.05,-0.77,66.50,66.19,109.91,65.76,5.89,6.28,0.43,-0.03
26.69,-5.75,4.16,-0.52,71.78,72.63,105.75,66.87,6.02,6.28,0.43,-0.02
26.75,0.61,6.36,0.01,72.45,66.23,99.39,70.80,6.28,6.28,0.43,-0.01
26.82,-0.90,-1.51,-2.17,67.13,64.89,100.90,70.48,5.20,6.28,0.43,-0.00
26.88,-4.10,-3.20,-3.13,68.15,64.36,104.10,65.35,4.72,6.28,0.43,0.01
26.94,-5.42,-1.32,-2.10,66.49,70.78,105.42,66.04,5.23,6.28,0.43,0.01
27.01,-5.18,0.25,-1.41,65.91,67.69,105.18,65.84,5.58,6.28,0.43,0.02
27.07,0.77,5.94,0.02,60.10,72.58,99.23,67.61,6.28,6.27,0.42,0.03
27.14,-1.01,-1.77,-2.30,66.12,67.74,101.01,73.14,5.13,6.28,0.42,0.04
27.20,-2.38,-1.37,-2.10,71.27,71.68,102.38,72.03,5.23,6.28,0.42,0.04
27.26,-1.62,0.76,-1.15,72.09,59.85,101.62,65.71,5.70,6.28,0.42,0.05
27.33,3.01,4.63,0.24,65.21,64.89,96.99,68.93,6.28,6.16,0.42,0.06
27.39,1.09,-1.92,-2.38,66.81,69.90,98.91,67.72,5.09,6.28,0.42,0.07
27.46,1.28,0.19,-1.41,67.01,69.53,98.72,68.02,5.58,6.28,0.42,0.07
27.52,8.14,6.85,0.63,64.35,64.88,91.86,67.69,6.28,5.96,0.42,0.08
27.58,4.84,-3.29,-3.12,73.37,66.68,95.16,62.99,4.72,6.28,0.41,0.09
27.65,10.19,5.34,0.86,68.09,62.08,89.81,63.46,6.28,5.85,0.41,0.10
27.71,1.59,-8.60,-3.12,66.91,66.51,98.41,68.49,4.72,6.28,0.41,0.10
27.78,6.27,4.68,0.52,60.50,63.70,93.73,62.91,6.28,6.02,0.41,0.11
27.84,0.89,-5.39,-3.12,56.39,70.81,99.11,66.96,4.72,6.28,0.41,0.12
27.90,4.38,3.49,0.32,68.81,65.95,95.62,64.02,6.28,6.12,0.41,0.12
27.97,2.03,-2.34,-2.62,69.53,59.63,97.97,66.94,4.97,6.28,0.40,0.13
28.03,-5.54,-7.57,-3.14,72.38,66.75,105.54,69.65,4.71,6.28,0.40,0.14
28.10,-5.49,0.05,-1.49,71.32,67.22,105.49,68.23,5.53,6.28,0.40,0.14
28.16,5.41,10.90,1.34,69.75,66.54,94.59,67.22,6.28,5.61,0.40,0.15
28.22,2.76,-2.65,-2.83,68.46,65.75,97.24,70.25,4.87,6.28,0.39,0.16
28.29,-4.34,-7.10,-3.13,67.02,66.25,104.34,73.35,4.72,6.28,0.39,0.17
28.35,-5.35,-1.01,-1.95,65.06,66.76,105.35,65.81,5.30,6.28,0.39,0.17
28.42,-12.01,-6.66,-3.24,66.12,64.24,112.01,60.51,4.66,6.28,0.39,0.18
28.48,-0.88,11.13,1.44,63.72,63.35,100.88,69.35,6.28,5.56,0.38,0.19
28.54,-5.08,-4.20,-3.14,69.91,71.78,105.08,66.37,4.71,6.28,0.38,0.19
28.61,-3.26,1.82,-0.63,71.45,68.95,103.26,66.11,5.97,6.28,0.38,0.20
28.67,9.10,12.35,1.98,75.89,65.02,90.90,66.07,6.28,5.29,0.37,0.20
28.74,-0.40,-9.49,-3.12,69.66,66.64,100.40,69.90,4.72,6.28,0.37,0.21
28.80,-4.22,-3.82,-3.13,63.05,69.32,104.22,65.26,4.72,6.28,0.37,0.22
28.86,-2.54,1.68,-0.70,68.66,68.57,102.54,69.59,5.93,6.28,0.36,0.22
28.93,-7.88,-5.34,-3.17,69.35,65.93,107.88,70.85,4.70,6.28,0.36,0.23
28.99,1.14,9.02,0.38,70.23,68.24,98.86,63.07,6.28,6.09,0.35,0.24
29.06,-7.07,-8.21,-3.16,67.45,65.60,107.07,66.88,4.70,6.28,0.35,0.24
29.12,-4.19,2.88,-0.38,68.72,67.12,104.19,66.64,6.09,6.28,0.35,0.25
29.18,0.45,4.64,-0.00,61.17,61.95,99.55,64.38,6.28,6.28,0.34,0.26
29.25,-1.88,-2.32,-2.61,68.93,72.76,101.88,69.38,4.97,6.28,0.34,0.26
29.31,-8.21,-6.33,-3.17,64.07,75.17,108.21,69.01,4.69,6.28,0.33,0.27
29.38,-6.47,1.73,-0.72,66.46,68.76,106.47,66.73,5.92,6.28,0.33,0.27
29.44,-5.37,1.10,-1.03,68.90,68.20,105.37,63.13,5.77,6.28,0.32,0.28
29.50,-0.56,4.81,-0.10,63.76,65.55,100.56,67.63,6.23,6.28,0.32,0.29
29.57,-6.99,-6.42,-3.16,75.73,68.84,106.99,62.69,4.70,6.28,0.31,0.29
29.63,-7.39,-0.40,-1.72,62.64,60.96,107.39,61.40,5.42,6.28,0.31,0.30
29.70,-9.36,-1.98,-2.48,70.45,64.05,109.36,64.48,5.04,6.28,0.30,0.30
29.76,-17.50,-8.14,-3.36,66.58,69.41,117.50,69.54,4.60,6.28,0.30,0.31
29.82,-6.21,11.29,1.51,67.47,70.72,106.21,65.58,6.28,5.52,0.29,0.31
29.89,-14.25,-8.04,-3.28,67.30,72.00,114.25,62.54,4.64,6.28,0.29,0.32
29.95,-12.63,1.62,-1.03,64.39,63.14,112.63,63.77,5.76,6.28,0.28,0.32
30.02,-5.32,7.31,-0.48,67.11,60.46,105.32,66.15,6.04,6.28,0.28,0.33
30.08,-7.27,-1.95,-2.44,63.48,67.68,107.27,72.22,5.06,6.28,0.27,0.33
30.14,-11.13,-3.86,-3.22,72.17,69.39,111.13,67.30,4.67,6.28,0.26,0.34
30.21,-12.33,-1.20,-2.16,64.79,63.68,112.33,63.59,5.20,6.28,0.26,0.34
30.27,-11.73,0.60,-1.38,68.35,70.33,111.73,67.43,5.59,6.28,0.25,0.35
30.34,-18.42,-6.70,-3.38,66.90,65.01,118.42,65.37,4.59,6.28,0.25,0.35
30.40,-15.94,2.48,-1.11,68.56,66.33,115.94,66.18,5.73,6.28,0.24,0.35
30.46,-12.42,3.52,-0.91,71.02,63.45,112.42,69.53,5.82,6.28,0.23,0.36
30.53,-5.44,6.98,-0.51,63.34,65.48,105.44,62.87,6.03,6.28,0.23,0.36
30.59,-3.87,1.57,-0.77,69.59,68.71,103.87,75.02,5.89,6.28,0.22,0.37
30.66,-9.36,-5.49,-3.19,63.88,64.62,109.36,68.17,4.68,6.28,0.21,0.37
30.72,-8.37,0.99,-1.13,70.07,68.22,108.37,65.21,5.71,6.28,0.21,0.37
30.78,-5.91,2.46,-0.51,68.83,64.96,105.91,66.20,6.03,6.28,0.20,0.38
30.85,-2.60,3.31,-0.26,73.81,69.72,102.60,70.85,6.15,6.28,0.19,0.38
30.91,-8.56,-5.95,-3.18,67.75,60.60,108.56,71.46,4.69,6.28,0.19,0.38
30.98,-7.41,1.14,-1.04,64.97,63.32,107.41,67.33,5.76,6.28,0.18,0.39
31.04,-8.16,-0.74,-1.88,72.53,68.44,108.16,71.35,5.34,6.28,0.17,0.39
31.10,-14.22,-6.06,-3.28,67.84,63.88,114.22,65.81,4.64,6.28,0.17,0.39
31.17,-10.11,4.11,-0.79,63.76,64.64,110.11,69.54,5.89,6.28,0.16,0.40
31.23,-13.12,-3.01,-3.26,68.52,65.89,113.12,64.87,4.65,6.28,0.15,0.40
31.30,-7.66,5.46,-0.77,67.81,70.34,107.66,63.99,5.89,6.28,0.15,0.40
31.36,-7.38,0.27,-1.43,66.29,68.44,107.38,65.60,5.56,6.28,0.14,0.40
31.42,-3.91,3.47,-0.36,66.32,64.14,103.91,68.77,6.10,6.28,0.13,0.41
31.49,-1.71,2.20,-0.39,62.04,66.88,101.71,69.05,6.09,6.28,0.12,0.41
31.55,-12.02,-10.31,-3.24,66.95,70.34,112.02,65.77,4.66,6.28,0.12,0.41
31.62,-6.61,5.40,-0.69,69.89,68.29,106.61,61.22,5.94,6.28,0.11,0.41
31.68,-6.34,0.27,-1.41,65.10,66.33,106.34,77.60,5.57,6.28,0.10,0.41
31.74,-5.96,0.38,-1.36,66.11,66.28,105.96,66.27,5.60,6.28,0.10,0.42
31.81,-5.86,0.10,-1.48,65.92,70.50,105.86,73.26,5.54,6.28,0.09,0.42
31.87,-4.34,1.52,-0.80,69.83,65.80,104.34,67.80,5.88,6.28,0.08,0.42
31.94,-6.21,-1.88,-2.39,69.99,66.41,106.21,67.61,5.09,6.28,0.07,0.42
32.00,-9.67,-3.45,-3.20,69.25,65.14,109.67,71.59,4.68,6.28,0.07,0.42
32.06,-7.69,1.97,-0.68,67.08,68.60,107.69,71.99,5.94,6.28,0.06,0.42
32.13,-9.20,-1.50,-2.24,64.52,64.97,109.20,69.27,5.16,6.28,0.05,0.42
32.19,-9.61,-0.41,-1.76,62.07,68.53,109.61,67.03,5.40,6.28,0.04,0.42
32.26,-7.29,2.31,-0.61,67.86,59.63,107.29,71.25,5.98,6.28,0.04,0.42
32.32,-2.56,4.74,-0.29,67.31,70.21,102.56,65.63,6.13,6.28,0.03,0.42
32.38,1.12,3.68,0.05,62.80,61.37,98.88,65.48,6.28,6.26,0.02,0.42
32.45,5.48,4.35,0.44,66.69,67.47,94.52,66.44,6.28,6.06,0.01,0.42
32.51,-2.45,-7.93,-3.12,64.23,63.92,102.45,62.95,4.72,6.28,0.00,0.43
32.58,-4.98,-2.53,-2.76,71.15,74.31,104.98,74.89,4.90,6.28,-0.00,0.43
32.64,-5.00,-0.01,-1.52,69.75,66.39,105.00,67.77,5.52,6.28,-0.01,0.43
32.70,-10.51,-5.52,-3.21,62.78,64.51,110.51,65.19,4.67,6.28,-0.02,0.43
32.77,-6.25,4.27,-0.56,64.29,65.71,106.25,65.14,6.00,6.28,-0.02,0.43
32.83,-6.07,0.18,-1.45,66.96,73.46,106.07,73.52,5.56,6.28,-0.03,0.43
32.90,-6.10,-0.03,-1.54,72.23,67.42,106.10,63.01,5.51,6.28,-0.04,0.42
32.96,-10.09,-3.99,-3.20,66.68,73.05,110.09,70.64,4.68,6.28,-0.05,0.42
33.02,-6.26,3.83,-0.54,66.49,65.62,106.26,66.61,6.01,6.28,-0.05,0.42
33.09,-7.25,-0.99,-1.97,66.43,63.87,107.25,68.32,5.29,6.28,-0.06,0.42
33.15,-7.60,-0.35,-1.70,63.86,68.38,107.60,66.97,5.43,6.28,-0.07,0.42
33.22,-6.16,1.45,-0.87,66.61,69.67,106.16,61.20,5.85,6.28,-0.08,0.42
33.28,-7.42,-1.27,-2.10,62.14,74.25,107.42,65.69,5.23,6.28,-0.08,0.42
33.34,-6.25,1.18,-1.00,64.44,68.24,106.25,70.18,5.78,6.28,-0.09,0.42
33.41,-9.62,-3.37,-3.20,67.14,65.99,109.62,67.68,4.68,6.28,-0.10,0.41
33.47,-6.50,3.11,-0.55,66.30,66.78,106.50,62.21,6.01,6.28,-0.11,0.41
33.54,-4.57,1.93,-0.58,71.82,63.52,104.57,72.95,5.99,6.28,-0.11,0.41
33.60,-5.43,-0.86,-1.89,60.07,64.98,105.43,66.52,5.34,6.28,-0.12,0.41
33.66,-3.61,1.82,-0.63,75.09,69.89,103.61,65.46,5.96,6.28,-0.13,0.41
33.73,-7.83,-4.22,-3.17,71.43,65.13,107.83,65.71,4.70,6.28,-0.14,0.40
33.79,0.06,7.89,-0.03,70.99,67.42,99.94,76.71,6.27,6.28,-0.14,0.40
33.86,-7.72,-7.79,-3.17,68.14,71.23,107.72,64.41,4.70,6.28,-0.15,0.40
33.92,-4.77,2.96,-0.42,76.52,69.63,104.77,68.09,6.07,6.28,-0.16,0.40
33.98,-6.84,-2.07,-2.50,69.78,64.09,106.84,61.73,5.03,6.28,-0.16,0.39
34.05,-4.28,2.56,-0.39,65.59,71.00,104.28,68.53,6.09,6.28,-0.17,0.39
34.11,-11.53,-7.25,-3.23,70.08,65.03,111.53,69.27,4.67,6.28,-0.18,0.39
34.18,-10.72,0.81,-1.26,70.68,61.07,110.72,66.69,5.65,6.28,-0.18,0.39
34.24,-9.85,0.87,-1.22,68.61,59.10,109.85,66.91,5.67,6.28,-0.19,0.38
34.30,-3.94,5.91,-0.46,71.81,63.80,103.94,66.12,6.05,6.28,-0.20,0.38
34.37,-7.87,-3.93,-3.17,65.18,70.79,107.87,64.10,4.70,6.28,-0.20,0.37
34.43,-5.47,2.40,-0.48,62.47,67.35,105.47,67.87,6.04,6.28,-0.21,0.37
34.50,-12.88,-7.41,-3.25,65.24,64.63,112.88,68.53,4.65,6.28,-0.22,0.37
34.56,-8.84,4.04,-0.71,69.28,62.97,108.84,66.79,5.92,6.28,-0.22,0.36
34.62,-8.46,0.37,-1.41,68.70,69.63,108.46,72.25,5.58,6.28,-0.23,0.36
34.69,-4.74,3.72,-0.43,72.20,66.82,104.74,65.89,6.06,6.28,-0.24,0.36
34.75,-4.38,0.36,-1.35,70.81,64.92,104.38,70.31,5.61,6.28,-0.24,0.35
34.82,-8.90,-4.52,-3.18,62.16,72.02,108.90,65.27,4.69,6.28,-0.25,0.35
34.88,-11.86,-2.96,-3.19,62.57,63.29,111.86,72.70,4.68,6.28,-0.26,0.34
34.94,-8.43,3.44,-0.67,72.96,65.30,108.43,66.70,5.94,6.28,-0.26,0.34
